"isbn","title","author","summary","pages","year","language","publisher","subjects","genres"
"978-3-351-03563-1","Das ist eine Geschichte","Gerlof, Kathrin","Ihr halbes Leben lang hat Veronika verdrängt, dass sie als Jugendliche ein Kind zur Welt brachte und zur Adoption freigab. Nun muss sie sich damit auseinandersetzen. Eine harte Bewährungsprobe für sie und ihre Ehe mit dem arbeitslosen Hanns.","396","2014","ger","Aufbau-Verl.","Frau; Ehebruch; Mutterrolle; Familienleben","Fiktionale Darstellung"
"978-3-351-03564-8","Kleine Hände im großen Krieg","Winterberg, Sonya","Kindersoldaten kämpften im Ersten Weltkrieg zu Tausenden in fast allen Armeen, aber es gab auch die minderjährigen Kriegskrankenschwestern und viele Kinder, die die Grausamkeiten der Besatzung erleben mussten. 100 Jahre später wird hier die Geschichte des Ersten Weltkrieges von Prominenten und Unbekannten anhand ihrer Tagebücher und Briefe neu erzählt. Erscheint am 10. März!    http://www.amazon.de/Kleine-H%C3%A4nde-Gro%C3%9Fen-Krieg-Kinderschicksale/dp/3351035640/ref=sr_1_1?s=books&ie=UTF8&qid=1393252755&sr=1-1","367","2014","ger","Aufbau-Verl.","Weltkrieg <1914-1918>; Kind","Erlebnisbericht"
"978-3-401-02062-4","Das Schlossgespenst","Lobe, Mira","""Schlossbewohner dringend gesucht!"". Aufgestellt hat das Plakat der vereinsamte Bewohner eines viel zu großen, verwinkelten Schlosses: ein kleines Gespenst. Mit dem Einzug des Malers Balduin, seines Hundes Wuff und der Katze Prinzessin ändert sich das langweilige ""Leben"" des traurigen Geistes.  Die Geschichten von kleinen Schlossgespenst eignen sich für die erste oder zweite Klasse. Themen wie Einsamkeit und Freundschaft werden von Mira Lobe in eine kindgerechte Gruselatmosphäre getaucht. Lustige und abenteuerliche Szenen sorgen immer wieder für Entspannung. Fast auf jeder Seite sind Bilder. Der Text ist schön gegliedert und in großer Schrift geschrieben.","35","2010","ger","Arena","Schlossgespenst","Kinderbuch"
"978-3-401-02295-6","Was sagt das Stachelschwein zum Kaktus?","Dietl, Erhard","Der Erfolgsautor Erhard Dietl hat die besten Scherzfragen zu den Themen Tiere, Schule, Technik u.v.m. gesammelt und illustriert.","147","2006","ger","Arena","Scherzfrage; Scherzfrage","Kindersachbuch; Anthologie; Jugendbuch"
"978-3-401-02297-0","Die Kicherkiste","Dietl, Erhard","Eine Sammlung mit Witzen, Scherzfragen, Sprüchen und ""blöden Fragen"", dazu freche Zeichnungen im Cartoonstil von Altmeister E. Dietl.","300","2006","ger","Arena","Witz","Anthologie; Kinderbuch"
"978-3-401-02500-1","Es geschah im Nachbarhaus","Fährmann, Willi","Der Vater eines jüdischen Jungen wird verdächtigt, ein Kind ermordet zu haben.","173","2012","ger","Arena","Kleinstadt; Antisemitismus; Junge; Freundschaft; Juden","Jugendbuch"
"978-3-401-02785-2","Sonst bist du dran!","Welsh, Renate","Michel aus der 4a wird auf dem Heimweg Zeuge, wie Jungen seiner Klasse Arnold auflauern, ihn demü­tigen und schlagen. „Wenn du ein Wort sagst, dann bist du dran“ drohen die Jungen Michel. Wie gut, dass er eine verständnisvolle Lehrerin hat, die bemerkt, dass etwas in der Klasse 4a nicht stimmt. Als dann im Schulhof eine Rauferei stattfindet, nimmt sie das zum Anlass, mit ihrer Klasse über Gewalt zu sprechen. Renate Welsh behandelt in ihrer Erzählung ein wichtiges Thema ohne päda­gogischen Zeigefinger. Realistisch werden Gefühle wie Angst, Wut und Aggression beschrieben.","35","2019","ger","Arena","Schule; Gewalt","Kinderbuch"
"978-3-401-02901-6","Der Dieb von Rom","Parigger, Harald","Nach einigen Missernten bleibt Marius’ Familie nur das, was auf einen Maultierkarren passt. Der Neu­anfang in der brodelnden Metropole Rom ist alles andere als vielversprechend. Die Arbeit wird von Sklaven erledigt, Lohnarbeiter werden kaum gebraucht und der Erlös aus dem Verkauf des eigenen Urins an Gerbereien reicht nun wirklich für keine ordentliche Mahlzeit. Doch der Familien­sklave Alexios erweist sich als Überlebenskünstler und hervorragender Aus­bil­der im Fach Diebstahl. Ohne das Wissen des strengen und rechtschaffenen Familien­ober­haup­tes wird auf diese Weise das Geschick der Familie nach und nach gemildert. Zu guter Letzt gelingt es Marius mit Dreistigkeit und Glück sogar, die Sklavin, in die er sich verliebt hat, freizukaufen und das verlorene Land wie­der­zu­gewinnen. Etwas unwahrscheinlich, aber spannend und süffig erzählt und voller interessanter Details aus dem Alltag des Alten Rom.","35","2007","ger","Arena","Männliche Jugend; Armut; Doppelleben; Geschichte 23 v. Chr.","Jugendbuch"
"978-3-401-05312-7","Hexe Lilli auf Schloss Dracula","Knister","Lilli hext sich in das Schloss des mächtigsten Vampirs aller Zeiten: Dracula!","35","2006","ger","Arena","Hexe","Kinderbuch"
"978-3-401-06095-8","Komet im Mumintal","Jansson, Tove","Die Mumins erwarten die Ankunft eines Kometen.","187","2007","ger","Arena","Troll; Abenteuer; Komet","Kinderbuch"
"978-3-401-06434-5","Mit 18 mein Sturz","Simsek, Mihrali","„Wer liest, landet nicht im Knast. Wer Filme schaut, schon.“ Das schreibt Mihrali zu Beginn seines Buches. Schon in der Grundschule faszinieren ihn Gangster- und Actionfilmen. Wegen falscher Freunde und falscher Ideale vernachlässigt der intelligente Junge die Schule. Die Chance auf eine Karriere als Rapper wird nachlässig vertan. Saufen, Kiffen und mit den Jungs durch die Kneipen ziehen auf der Suche nach Schlägereien, das ist sein Leben. Waffen, die man mit sich herumträgt, benutzt man irgendwann auch – Mihrali sticht zu, ein junger Mann verblutet, sein „Blutsbruder“ verpfeift ihn. Die sechseinhalb Jahre Strafvollzug nurtzt Mihrali, um eine Ausbildung zu machen, sich als Gefangenensprecher zu engagieren, Gedichte, Sketche und dieses Buch (mit einem Co-Autor) zu schreiben – er wird im Gefängnis erwachsen, dennoch droht ihm als Türke die Abschiebung und seine Zukunft ist ungewiss. Abwechselnd schildert er in „Drinnen“-Passagen den Knastalltag, in „Draußen“-Kapiteln sein Leben vor der Tat.  Auch in einfachen Sätzen ist eine differenzierte Darstellung möglich, Jugendslang bleibt der direkten Rede vorbehalten.  Besonders gut für die Mittelschule geeignet","35","2010","ger","Arena","Türkischer Jugendlicher; Totschlag; Jugendstrafe; Bewältigung","Jugendbuch"
"978-3-401-06620-2","Huckleberry Finns Abenteuer","Twain, Mark","Die Abenteuer, die Huck Finn und der Neger Jim während ihrer Floßfahrt auf dem Mississippi erleben.","305","2011","ger","Arena","Ausreißer; Abenteuerreise","Kinderbuch"
"978-3-401-06621-9","Die Schatzinsel","Stevenson, Robert Louis","Jim Hawkins ist gerade 17 Jahre alt, als er sich auf ein gefährliches Abenteuer einläßt: die Suche nach dem Schatz des berüchtigten Piraten Flint. - Abenteuerklassiker von 1883.","254","2019","ger","Arena","Schatzsuche","Kinderbuch"
"978-3-401-06870-1","20000 Meilen unter den Meeren","Verne, Jules","Ein amerikanisches Expeditionsschiff stößt bei der Suche nach einem sagenhaften Meeresungeheuer auf das Unterseeboot ""Nautilus"". Abenteuerliches erlebt die Besatzung mit dessen grausamem Kapitän Nemo. Ein Klassiker des 1905 verstorbenen Franzosen. Ab 10.","238","2020","ger","Arena","Unterseeboot; Abenteuerreise; Zukunft","Jugendbuch"
"978-3-401-06941-8","Hexe Lilli wird Detektivin","Knister","Ein verhext schwieriger Fall für Lilli!","114","2014","ger","Arena","Hexe; Detektivin; Mädchen; Hexe; Detektivin; Kinderbuch","Kinderbuch"
"978-3-401-08185-4","Hexe Lilli und der Vampir mit dem Wackelzahn","Knister","Lillis kleiner Bruder hat seinen ersten Wackelzahn, und der tut ziemlich weh. Doch Lilli hat einen tollen Einfall, um den armen Leon abzulenken.","53","2010","ger","Ed. Bücherbär","Hexe","Kinderbuch"
"978-3-401-09152-5","Nein, ich geh nicht mit, ich kenn dich nicht!","Nahrgang, Frauke","Ausgerechnet Pauline , die Leon bisher gar nicht leiden konnte, hilft ihm, als ein fremder Mann ihn angeblich nach Hause fahren will und versucht, ihn ins Auto zu ziehen. Ab 6.","51","2010","ger","Ed. Bücherbär","Junge; Freundschaft; Mädchen; Selbstbewusstsein","Kinderbuch; Kinderbuch"
"978-3-401-09165-5","Ich bin stark, ich sag laut Nein!","Apenrade, Susa","Der große Junge auf dem Spielplatz will Leas Schokoriegel haben. Was soll sie tun? Den Riegel hergeben? Ihn teilen? Oder einfach laut und deutlich Nein sagen? In 6 kniffligen Situationen muss sich Lea entscheiden. Ein Selbstbewusstseinstraining für Kinder. Ab 4.","28","2019","ger","Arena","Mädchen; Selbstbewusstsein","Bilderbuch"
"978-3-401-09728-2","Wie leben die kleinen Waldameisen","Reichenstetter, Friederun","Das Leben im Ameisenhügel ist spannend und gut organisiert. Jede Ameise hat ihre Aufgabe. Womit ist die Arbeiterin beschäftigt? Was tut die Ameisenkönigin den ganzen Tag? Und was hat es mit dem faulen Käfer auf sich, der die Ameisen mit einem Trick überlistet? Das durchgehend farbig illustrierte Sach-Bilderbuch (vgl. auch ""Der kleine Fuchs und die Tiere im Wald"" DS 3687083 25 Ex.) erzählt alles Wissenswerte über das Zusammenleben der faszinierenden Tiere. Manch Erstaunliches und viele Rekorde des Tierreichs können Kinder ab 4 Jahren über die Waldameise erfahren. Die beiliegende CD erzählt die Geschichte, angereichert mit Naturgeräuschen,nach. Auch für Medienpakete zu empfehlen. V019","31","2010","ger","Arena","Waldameise; Waldameise","Kindersachbuch; CD <für Kinder>"
"978-3-401-09805-0","Unterwegs mit dem kleinen Bus","Spanjardt, Eva","Das Fahr-Abenteuer mit dem einzigartigen Spielkonzept: Der kleine Bus fährt durch die Straßen der großen Stadt, von Haltestelle zu Haltestelle und von Buchseite zu Buchseite. Dabei gibt es jede Menge zu entdecken: Hochhäuser, Geschäfte, Schule, Sportplatz, Kindergarten und Zirkus … und noch so viel mehr! (Verl.) Neuauflage. Zur Nachbeschaffung. (vgl. DS 3838533 4 Ex. in 141; 173; 175 vorh. / 21 Löschex.)                 https://www.amazon.de/Mein-gro%C3%9Fes-Spurbuch-Unterwegs-kleinen/dp/3401098055/ref=sr_1_1_twi_har_1?s=toys&ie=UTF8&qid=1516175833&sr=8-1&keywords=9783401098050","10","2018","ger","Arena","Stadt; Omnibus","Bilderbuch"
"978-3-401-09999-6","Erdbeerinchen Erdbeerfee - alles voller Sonnenschein","Dahle, Stefanie","Weil ihre Behausung durch den lang anhaltenden Regen unbewohnbar geworden ist, zieht Erdbeerfee Erdbeerinchen mit ihrem Hausstand und ihren Erdbeerpflanzen um. Ab 3.","32","2018","ger","Arena","Fee","Bilderbuch"
"978-3-401-50023-2","Die Abenteuer des Odysseus","Lechner, Auguste","Auguste Lechner erzählt in modernem Deutsch die Abenteuer des Odysseus. Nachdem er den Sieg in Troja davon getragen hatte, irrte Odysseus 10 Jahre lang umher bis ihn die Götter nach Hause in sein Reich Ithaka gelangen ließen. Er musste viele Abenteuer bestehen, so z.B. den Kampf mit dem Zyklop Polyphemos oder mit der Zauberin Kirke, die seine ganzen Landsleute in Schweine verwandelt. Weitere Schrecknisse sind die Begegnung mit Skylla und Charybdis. Während seiner Abenteuer verliert er alle Gefährten. Als Odysseus endlich in sein Reich zurückkehrt, sieht er sich dort den Freiern seiner Frau gegenüber. Außerdem erkennt ihn dort niemand mehr.","35","2021","ger","Arena","","Jugendbuch"
"978-3-401-50827-6","Knallfrösche","Dietl, Erhard","101 Witze, in denen Tiere - von der Eintagsfliege bis zum Trampeltier - vertreten sind.","162","2016","ger","Arena","Tierwitz","Anthologie; Kinderbuch"
"978-3-401-50855-9","Ein Traum vom Fußball","Dijkzeul, Lieneke","Rahmane, Tigani und Henry leben in einem kleinen, armen Dorf irgendwo in Afrika und träumen davon, mit Fußball reich zu werden. Als Vertreter des größten Vereins der fernen Stadt ein Spiel beobachten, werden sie ausgewählt, ein Probetraining zu absolvieren. Ab 12.","262","2016","ger","Arena","Afrikanischer Jugendlicher; Berufsfußballspieler; Kulturkonflikt","Jugendbuch"
"978-3-401-60063-5","Das reinste Katzentheater","Pantermüller, Alice","Zuerst war Lotta ja ganz begeistert, als sie Cheyennes süßen Bruder Rocco kennengelernt hat. Klar, dass sie als Expertin für kleine (Blöd-)Brüder ihrer besten Freundin beim Babysitten helfen wollte. Doch dann verwandelt sich Rocco vom süßen Kätzchen zum wilden Tiger und zu allem Überfluss verschwindet auch noch Lottas Flöte. Wie soll man denn da ein Gute-Nacht-Lied spielen? (Verl.)","167","2021","ger","Arena","Mädchen; Wunsch; Kaninchen","Kinderbuch"
"978-3-401-70113-4","Eine Weihnachtsgeschichte","Knape, Wolfgang","Der Klassiker von Charles Dickens, in einer altersgerechten Nacherzählung von Wolfgang Knape, ist erschienen in der Reihe Bücherbär Klassiker für Erstleser. Geschäftsmann Ebenezer Scrooge ist ein hart­herziger Geizkragen. An Weihnachten erhält er unerwarteten Besuch vom Geist seines ver­storbenen Geschäftspartners, der ihm all die   Menschen in seiner Umgebung  vor Augen führt, denen es schlecht geht und die obendrein von Scrooge mies behandelt werden. Scrooge läßt sich bekehren und wird zu einem besseren Menschen, der die Armen unterstützt. Das Buch ist  in klarer Fibelschrift geschrieben und mit vielen zum Teil ganzseitigen Bildern illustriert.","35","2014","ger","Arena","Weihnachten; Nächstenliebe","Kinderbuch"
"978-3-401-70132-5","Paul - Plötzlich Vampir! - Geheimsache Blutwurst","Seltmann, Christian","Das kann doch nicht sein: Die Blutwurst ist weg. Alle Vorräte sind verschwunden, und selbst die Blutwurst-Fabrik ist wie vom Erdboden verschluckt. Dagegen müssen Paul Vampir und seine Fledermaus-Freundin Valerie unbedingt etwas unternehmen. Gemeinsam mit dem schusseligen Werwolf Wotislav von Wroblewski reisen die beiden in die Vergangenheit, um das uralte Rezept der Blutwurst zu retten. (Verl.) Ein weiteres Abenteuer mit Paul-Vampir. (vgl. DS 3759715 40 Ex. und ""Paul - Plötzlich Vampir! Ein bisschen Spuk um Mitternacht "" DS 3859518 32 Ex.)  Angenehmes, größeres Schriftbild, dialogreich und lustig erzählt. Die Zeichnungen im Comicstil sind zum Teil ganzseitig und passen zu der verrückten Geschichte. V019  http://www.amazon.de/Paul-Pl%C3%B6tzlich-Vampir-Geheimsache-Blutwurst/dp/3401701320/ref=sr_1_1?ie=UTF8&qid=1392361265&sr=8-1&keywords=9783401701325","90","2014","ger","Arena","Vampir","Kinderbuch"
"978-3-401-70192-9","Mücke, die Zahnfee, auf Milchzahn-Jagd","Dulleck, Nina","Drei Zahnfeen wollen sich nach dem Kuchenessen ihre Zähne putzen. Doch leider hat Mückes Zahnbürste nur noch drei Borsten. Um eine neue Zahnbürste zu kaufen, brauchen sie drei Milchzähne. Des nachts fliegen die drei Feen zu mehreren Kindern, um nachzusehen, ob Milchzähne unter dem Kopfkissen liegen. Immer wieder kommen sie auch an dem Laden vorbei und sehen, dass nur noch zwei, dann nur noch eine Zahnbürste übrig ist. Werden sie rechtzeitig die drei Milchzähne einsammeln?  In dieser fröhlichen Geschichte um das wichtige Thema Zähneputzen sind die Substantive durch Bilder ersetzt, so dass sich Leseanfänger recht leicht tun und viel Freude  an der Geschichte haben werden. Ein Lesebilderbuch für Leseanfänger mit Rätsel-Übungsheft","35","2013","ger","Arena","Fee; Milchzahn","Bilderbuch"
"978-3-401-70332-9","Mein lustiges Drehscheibenbuch - unser großer Bauernhof","Döring, Hans-Günther","Ida und Leon wohnen auf dem Bauernhof. Hier gibt es immer viel zu tun. Die Kühe müssen gemolken und gefüttert werden und auf dem Feld wird das Getreide geerntet. Mit vielen Drehscheiben. Ab 2.","10","2014","ger","Arena","Bauernhof","Bilderbuch"
"978-3-401-70452-4","Erdbeerinchen Erdbeerfee - das Geheimnis im Beerenwald","Dahle, Stefanie","Erdbeerinchen Erdbeerfee wundert sich: Ihr Zauberstab ist verschwunden - und plötzlich sind all ihre schönen Erdbeeren blau. Wie konnte das denn passieren? Ob wohl das geheimnisvolle Tier etwas damit zu tun hat, das seit kurzem im Beerenwald wohnen soll? Zusammen mit ihren Freunden macht sich Erdbeerinchen auf, um das Rätsel zu lösen ? (Verl.) Bilderbuch mit Erdbeerinchen Erdbeerfee. (vgl. zuletzt DS 3854728 35 Ex. + Titel für erstleserinnen und zum Vorlesen) Glitzercover. V019                  http://www.amazon.de/Erdbeerinchen-Erdbeerfee-Das-Geheimnis-Beerenwald/dp/3401704524/ref=sr_1_1_twi_1_har?ie=UTF8&qid=1436340583&sr=8-1&keywords=9783401704524","27","2015","ger","Arena","Fee","Bilderbuch"
"978-3-401-71699-2","Schlau wie der Fuchs, treu wie der Hund","Reichenstetter, Friederun","13 liebevoll erzählte Geschichten des bekannten Gespanns Reichenstetter/Döring (s.a. ""Die kleine Buche und ihre Freunde"", DSN 04250895) über Wild- und Nutztiere und ihre besonderen Fähigkeiten mit vielen Sachinformationen, warmherzigen Illustrationen und einem schon etwas kitschigen Cover. Auf der Audio-CD befinden sich die Geschichten mit Tierstimmen und einem Fragespiel. Neben dem Titel für etwas ältere Kinder ""Wie Tiere denken und fühlen"" (DSN 04254045 in 117; 118; 123; 128; 134; 141; 143; 144; 145; 146; 147; 148; 150; 173; 174; 175; 505).        https://www.amazon.de/Schlau-Fuchs-treu-Hund-Sachinformationen/dp/3401716999/ref=sr_1_1?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=schlau+fuchs+treu+hund&qid=1614858672&sr=8-1","27","2021","ger","Arena","Tiere; Gefühl; Tiere; Verhalten","Kindersachbuch; Kindersachbuch"
"978-3-401-71722-7","Der Fuchs","Reichenstetter, Friederun","Zur Vervollständigung der ""neuen"", optisch neu gestalteten Sachbuchreihe aus dem Arena-Verlag (GA 04315725) des bekannten Autorengespanns Reichenstetter/Döring. Gern empfohlen für alle. Zuletzt aus der Reihe ""Der Delfin"" (DSN 04387975 in 123; 128; 132; 133; 141; 143; 145; 147; 148; 173; 175; 176), weitere Titel auf dieser Liste.                         https://www.amazon.de/Fuchs-Sachwissen-f%C3%BCr-Erstleser-B%C3%BCcherb%C3%A4r/dp/3401717227/ref=sr_1_14?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=1896J1RUW1373&keywords=fuchs+Friederun+Reichenstetter&qid=1658146446&s=books&sprefix=fuchs+friederun+reichenstetter%2Cstripbooks%2C71&sr=1-14","40","2021","ger","Arena","Fuchs","Kindersachbuch"
"978-3-401-71723-4","Das Kaninchen und der Feldhase","Reichenstetter, Friederun","Zur Vervollständigung der ""neuen"", optisch neu gestalteten Sachbuchreihe aus dem Arena-Verlag (GA 04315725) des bekannten Autorengespanns Reichenstetter/Döring. Gern empfohlen für alle. Zuletzt aus der Reihe ""Der Delfin"" (DSN 04387975 in 123; 128; 132; 133; 141; 143; 145; 147; 148; 173; 175; 176), weitere Titel auf dieser Liste.                                https://www.amazon.de/Das-Kaninchen-Feldhase-Sachwissen-Erstleser/dp/3401717235/ref=sr_1_1?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=16B0Y8NFVA2NC&keywords=9783401717234&qid=1658145654&s=books&sprefix=9783401717234%2Cstripbooks%2C100&sr=1-1","48","2020","ger","Arena","Kaninchen; Feldhase","Kindersachbuch; Kindersachbuch"
"978-3-401-71724-1","Der Igel","Reichenstetter, Friederun","Die Vorauflage von 2017 (DSN 04163943 in 111; 112; 117; 123; 125; 126; 128; 129; 132; 133; 134; 141; 143; 144; 145; 146; 147; 148; 150; 172; 173; 174; 175) erschien noch innerhalb der Reihe ""Der Bücherbär : Sachwissen Natur"", nun erscheinen Neuauflagen in der Reihe ""Sachwissen für Erstleser (GA 04315725, s.a. ""Die Wildkatze"", DSN 04315726). Die damalige Besprechung hat weiterhin Gültigkeit: ""In 13 kurzen Kapiteln und einer Geschichte erfährt der Erstleser alles Wissenswerte rund um den Igel: Wo und wie lebt er? Was isst er gern? Hält er Winterschlaf? Welchen Gefahren ist er ausgesetzt und was mache ich, wenn ich einen Igel finde? Trotz altersgemäßer großer Schrift, kurzer Zeilen und knapper Sätze erfahren Leseanfänger ab der 1. Klasse eine große Fülle an Informationen über dieses eigenwillige Tier. Ein Sachbuch, das sehr schön, farbig, anschaulich und teilweise sogar doppelseitig illustriert ist."" Zur Neu- und Ersatzbeschaffung weiterhin sehr empfehlenswert.           https://www.amazon.de/leben-die-Tiere-Igel-B%C3%BCcherb%C3%A4r/dp/3401709488/ref=sr_1_1?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=9783401709482&qid=1608113117&sr=8-1","35","2021","ger","Arena","Igel","Kindersachbuch"
"978-3-401-71773-9","Die Honigbiene","Reichenstetter, Friederun","Zur Vervollständigung der ""neuen"", optisch neu gestalteten Sachbuchreihe aus dem Arena-Verlag (GA 04315725) des bekannten Autorengespanns Reichenstetter/Döring. Gern empfohlen für alle. Zuletzt aus der Reihe ""Der Delfin"" (DSN 04387975 in 123; 128; 132; 133; 141; 143; 145; 147; 148; 173; 175; 176), weitere Titel auf dieser Liste.                            https://www.amazon.de/Die-Honigbiene-Sachwissen-Erstleser-B%C3%BCcherb%C3%A4r/dp/3401717731/ref=pd_bxgy_sccl_2/258-4050971-2365413?pd_rd_w=lvu2R&content-id=amzn1.sym.d73f5cbf-8a37-4392-ae93-64a1b1ea1887&pf_rd_p=d73f5cbf-8a37-4392-ae93-64a1b1ea1887&pf_rd_r=99G7N4KRBXD63NEDE833&pd_rd_wg=bjRP9&pd_rd_r=136678a7-248c-44c8-8814-46ea48ed2c58&pd_rd_i=3401717731&psc=1","41","2021","ger","Arena","Biene","Kindersachbuch"
"978-3-401-71774-6","Die Eulen","Reichenstetter, Friederun","Zur Vervollständigung der ""neuen"", optisch neu gestalteten Sachbuchreihe aus dem Arena-Verlag (GA 04315725) des bekannten Autorengespanns Reichenstetter/Döring. Gern empfohlen für alle. Zuletzt aus der Reihe ""Der Delfin"" (DSN 04387975 in 123; 128; 132; 133; 141; 143; 145; 147; 148; 173; 175; 176), weitere Titel auf dieser Liste.                    https://www.amazon.de/Die-Eulen-Sachwissen-Erstleser-B%C3%BCcherb%C3%A4r/dp/340171774X/ref=sr_1_3?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=15YHFYMJ9CDA2&keywords=Eulen+%2F+Friederun+Reichenstetter&qid=1658146221&s=books&sprefix=eulen+%2F+friederun+reichenstetter%2Cstripbooks%2C204&sr=1-3","48","2021","ger","Arena","Eulen","Kindersachbuch"
"978-3-401-71775-3","Der Wolf","Reichenstetter, Friederun","Zur Vervollständigung der ""neuen"", optisch neu gestalteten Sachbuchreihe aus dem Arena-Verlag (GA 04315725) des bekannten Autorengespanns Reichenstetter/Döring. Gern empfohlen für alle. Zuletzt aus der Reihe ""Der Delfin"" (DSN 04387975 in 123; 128; 132; 133; 141; 143; 145; 147; 148; 173; 175; 176), weitere Titel auf dieser Liste.                         https://www.amazon.de/Wolf-Sachwissen-f%C3%BCr-Erstleser-B%C3%BCcherb%C3%A4r/dp/3401717758/ref=sr_1_1?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=1760IZ61MGXVC&keywords=wolf+Friederun+Reichenstetter&qid=1658146329&s=books&sprefix=wolf+friederun+reichenstetter%2Cstripbooks%2C63&sr=1-1","42","2021","ger","Arena","Wolf","Kindersachbuch"
"978-3-401-71776-0","Die Fledermäuse","Reichenstetter, Friederun","Zur Vervollständigung der ""neuen"", optisch neu gestalteten Sachbuchreihe aus dem Arena-Verlag (GA 04315725) des bekannten Autorengespanns Reichenstetter/Döring. Gern empfohlen für alle. Zuletzt aus der Reihe ""Der Delfin"" (DSN 04387975 in 123; 128; 132; 133; 141; 143; 145; 147; 148; 173; 175; 176), weitere Titel auf dieser Liste.","43","2021","ger","Arena","Fledermäuse","Kindersachbuch"
"978-3-404-14808-0","Das zweite Königreich","Gablé, Rebecca","Der junge englische Gutsherr Caedmon gerät Mitte des 11. Jahrhunderts in die Kämpfe zwischen Angelsachsen und Normannen. Als Berater des grausamen, unberechenbaren William des Eroberers wird er zum Mittler zwischen den gegensätzlichen Interessen.","878","2012","ger","Bastei Lübbe","Übersetzer; Mischling; Normannen","Fiktionale Darstellung; Fiktionale Darstellung; Fiktionale Darstellung; Fiktionale Darstellung"
"978-3-404-15485-2","Sakrileg","Brown, Dan","Die Suche nach den Mördern des Louvre-Direktors und dem mysteriösen Tatmotiv wird für den Symbologie-Professor Lamgdon und Kryptologie-Expertin Neveu der Pariser Stadtpolizei zu einem Abenteuer ohne Ende, bei dem sie einer religiösen Verschwörung globalen Ausmaßes auf die Spur kommen.","640","2013","ger","Bastei Lübbe","Museumsdirektor; Bruderschaft; Mord","Fiktionale Darstellung; Fiktionale Darstellung"
"978-3-404-16000-6","Das verlorene Symbol","Brown, Dan","Ein Verbrecher hat die Absicht, das ""Verlorene Meisterwort"", eines der ältesten und machtvollsten Symbole der Freimauerer zu finden, um unbegrenzte Macht zu erhalten. Dafür zwingt der raffinierte Mörder den Symbolologen Robert Langdon auf eine atemlose Jagd durch Washington D.C.","750","2013","ger","Bastei Lübbe","Freimaurer; Symbolik; Verschwörung","Fiktionale Darstellung"
"978-3-404-16590-2","Das Gold der Maori","Gohl, Christiane","Michael und Kathleen, die im Irland des 19. Jahrhunderts getrennt werden, sehen sich nach 19 Jahren, nachdem ihre Wege und Hoffnungen in andere Richtungen gegangen sind, zufällig in Neuseeland wieder, kurz vor der Heirat Michaels mit seiner langjährigen Freundin Lizzie, einer Freundin der Maoris.","749","2011","ger","Bastei Lübbe","Einwanderer; Liebesbeziehung","Fiktionale Darstellung"
"978-3-404-16594-0","Der König der Komödianten","Völler, Eva","Veneto auf dem Land, Padua, Venedig 1594: nach dem Tod seines Onkels schließt der 17-jährige Marco sich einer Theatergruppe an, die nach Venedig weiterzieht und dort schnell ihr Publikum findet. Aber Marco droht Gefahr. Spannender Roman über Liebe, Verrat und große Gefühle im Leben wie auf der Bühne.","699","2011","ger","Bastei Lübbe","Theater; Bohème","Fiktionale Darstellung"
"978-3-404-16749-4","Das Netz der großen Fische","Camilleri, Andrea","Sizilienkrimi über das Geflecht von Mafia, Justiz, Politik, Hochfinanz und den Einfluss der Medien.","218","2012","ger","Bastei Lübbe","Politischer Mord; Aufklärung <Kriminologie>","Fiktionale Darstellung"
"978-3-404-16795-1","Auf der anderen Seite ist das Gras viel grüner","Gier, Kerstin","Kati ist mit Felix glücklich, aber nach 5 Jahren hat sich der Alltag in ihr Liebesleben geschlichen und damit die Zweifel. Als sie Mathias kennenlernt und sich in ihn verliebt, wird Katis Leben plötzlich kompliziert. Und turbulent. Besonders, als sie von einer Straßenbahn erfasst wird und im Krankenhaus wieder zu sich kommt. An exakt dem Tag, an dem sie Felix getroffen hat - 5 Jahre zuvor. Nach dem 1. Schock beschließt sie, den Lauf der Geschichte zu ändern, Felix gar nicht erst kennenzulernen und stattdessen mit Mathias glücklich zu werden. Doch die Liebe hat nun mal ihre eigenen Gesetze ... (Verlagstext)","282","2013","ger","Bastei Lübbe","Frau; Partnerwahl","Fiktionale Darstellung"
"978-3-404-16900-9","Die Tränen der Maori-Göttin","Gohl, Christiane","Neuseeland, 1899. Atamarie ist seit Jahren fasziniert von den Lenkdrachen der Maori. Sie schreibt sich als einziges Mädchen an der Universität für Ingenieurwissenschaften ein und trifft so auf den Flugpionier Richard Pearce. Diese Begegnung wird Atamaries Leben für immer verändern.","894","2013","ger","Bastei Lübbe","Maori; Frau","Fiktionale Darstellung"
