"isbn","title","author","summary","pages","year","language","publisher","subjects","genres"
"3-12-560804-X","Anfängerkurs Spanisch - das komplette Sprachpaket","López Sánchez, María Engracia","Spanischkurs für Anfänger und Wiedereinsteiger, bei dem vor allem das Sprechen und Verstehen in alltäglichen Situationen trainiert wird; mit vielen Hinweisen zur Landeskunde.","170","2006","spa","Klett Sprachen","Spanisch","Einführung"
"3-12-560805-8","Anfängerkurs Italienisch - das komplette Sprachpaket","Colombo, Federica","Italienischkurs für Anfänger und Wiedereinsteiger, bei dem vor allem das Sprechen und Verstehen in alltäglichen Situationen trainiert wird; mit vielen Hinweisen zur Landeskunde.","170","2006","ita","Klett Sprachen","Italienisch","Einführung"
"3-12-561134-2","PONS mobil Sprachtraining - Aufbau Englisch","Shaw, Tessa","Aktualisierte Neubearbeitung von ""Live! Englisch Sprachtraining"", DSN=270598, 14 Ex. Die ursprünglich 16 Interviews wurden auf 12 reduziert und teilweise ausgetauscht. Für Lerner mit guten Grundkenntnissen bieten die Original-Interviews (zu interessanten Themen rund um Land, Leute, Beruf, Kultur...) mit britischen oder amerikanischen Sprechern ein gutes Training, um vor allem das Hörverständnis zu schulen. Durch mündliche Übungen zu Wortschatz, Grammatik und Aussprache werden aber auch Sprachkenntnisse verbessert. Alle Interviews sind im Textheft abgedruckt.Alte Aufl. kann auslaufen. V051 (2 Ex.)","71","2004","eng","Klett Sprachen","Englisch","Einführung"
"3-12-923002-5","Lektürehilfen Johann Wolfgang von Goethe: ""Faust"" I und II","Hermes, Eberhard","Überblick über Handlung und Inhalt des ""Faust"", über die stofflichen Voraussetzungen und die wichtigsten interpretatorischen Aspekte.","208","2005","ger","Klett","Deutschunterricht","Lehrmittel"
"3-15-002721-7","Historien","Tacitus, Cornelius","Zur Nachbeschaffung. Reclam-Ausgabe v. 1984 nur in 51. Artemis-Ausgabe von 1984 in 36,51,32,41,43,46,61. Die älteren Ausgaben wie Heimeran von 1977 in 01,36,41,51 und 1969 in 12,17,30,31,44,60,76 abschreiben.","805","1999","lat","Reclam","","Quelle"
"3-19-004195-4","Spanisch ganz leicht - NEU","Hill, Brian","Für Anfänger geeigneter Sprachkurs, der über einen reinen Reisesprachführer hinausgeht, basierend auf ""Hueber Selbstlernkurs für Beruf und Urlaub"".","248","2003","ger","Hueber","Spanisch; Spanisch","Einführung; Einführung; Medienkombination"
"3-19-109526-8","Das Hex-Tagebuch","Andreas, Vincent","Bibi bekommt von ihrer Tante ein verhextes Tagebuch geschenkt. Dieses spricht Englisch und etwas Deutsch. Während Bibi sich mit ihm unterhält, lernt sie leicht und spielerisch grundlegende Vokabeln und Ausdrücke unter anderem zu Schule, Familie, Farben, Zahlen. Ab 8.","42","2005","ger","Hueber","Englisch","Einführung; Kindersachbuch"
"3-209-03727-2","Tiere auf der Wiese","Rettl, Christine","Text-Bild-Band mit Tierporträts (Feldhase, Tagpfauenauge, Kreuzspinne, Regenwurm, Honigbiene u.a.): Steckbrief, Verwandte, Sacherzählung zur Lebensweise, Quiz, Besonderes unter ""Hättest du das gewusst?"", Silbenrätsel. Sehr empfohlen. (Für 19 best.)","104","2002","ger","öbv & hpt","Wiese; Tiere","Kindersachbuch"
"3-254-00268-7","Popinstrumente und wie man sie spielt","Collins, Michael","Diese Buch stellt lebendig und anschaulich alle gängigen Musikinstrumente der populären Musik vor und macht Appetit auf das Erlernen eines Instruments! Geschichten aus Jazz und Popmusik und zahlreiche Abbildungen laden zum Schmökern ein. Die stil- und instrumententypischen Tonbeispiele auf der beiliegenden CD demonstrieren die Besonderheiten und Vorzüge der verschiedenen Instrumente. Das Buch wendet sich an Kinder und Jugendliche und zeigt, dass auch in der Popmusik eine solide musikalische Ausbildung erforderlich ist, um später in einer Band oder als Solist erfolgreich zu sein.  Ein informativer Führer durch die faszinierende Welt der Popinstrumente! Aus dem Inhalt: Akkordeon . Bass . Elektronische Tasteninstrumente . Gesang. Gitarre . E-Gitarre. Klarinette . Klavier . Mundharmonika . Perkussion . Posaune . Querflöte . Saxophon . Schlagzeug . Trompete. Als erste Einführung empfehlenswert. ""V005""","69","2005","ger","Atlantis Musikbuch","Unterhaltungsmusik; Musikinstrument; Popmusik","Einführung"
"3-257-20837-5","Die Physiker","Dürrenmatt, Friedrich","Die Flucht in ein Irrenhaus ist für einen Physiker der letzte und vergebliche Ausweg, seine Entdeckungen geheim zu halten.","93","1985","ger","Diogenes","Physiker; Flucht; Irrenanstalt","Theaterstück"
"3-257-21034-5","David Copperfield","Dickens, Charles","Entwicklungsroman eines jungen Engländers Anfang des 19.Jahrhunderts.","802","2003","ger","Diogenes","Waisenkind; Sozialer Aufstieg","Fiktionale Darstellung"
"3-257-21287-9","Cholonek oder Der liebe Gott aus Lehm","Janosch","Humoristischer Roman, der das Landleben im deutsch-polnischen Grenzgebiet zwischen 1930 und 1950 zeigt.","273","1985","ger","Diogenes-Verl.","Landleben","Fiktionale Darstellung"
"3-312-00846-8","Kinny-Kinny und der Steinriese","Recheis, Käthe","Nacherzählung eines alten Irokesen-Märchens: mit List und mit der Unterstützung seiner Freunde, der Vögel, Frösche und Schildkröten kann ein verträumter Junge sich und sein Dorf vom Steinriesen befreien. Ein Junge, der seinem Vater zu weich und zu wenig jungenhaft erscheint, wird zum Helden und findet Anerkennung. (Für 19 best.)","77","1999","ger","Nagel & Kimche","Indianer; Junge; Riese","Kinderbuch"
"3-314-00757-4","Kleiner Eisbär kennst du den Weg?","Beer, Hans de","TW 112, TW 144","14","2002","ger","Nord-Süd-Verl.","Eisbär; Hilfsbereitschaft","Bilderbuch; Bilderbuch"
"3-314-01255-1","Der Regenbogenfisch lernt das ABC","Pfister, Marcus","In einfacher Reimform holt sich der glitzernde Fisch hier die Buchstaben ins Meer und stellt sie den Kindern vor. Ab 4.","7","2002","ger","Nord-Süd-Verl.","Alphabet","Bilderbuch"
"3-378-00621-8","Magermilch und lange Strümpfe","Lange, Bernd-Lutz","Erinnerungen des Kabarettisten (ARD-Sendung ""Nachschlag"") an seine ersten vier Lebensjahrzehnte in der DDR, nicht unkritisch, aber etwas ddr-nostalgisch angehaucht. Bestseller, ob auch bei uns, kann ich nicht abschätzen.","218","2001","unb","Kiepenheuer","","Autobiografie"
"3-401-01696-2","Meine schöne Schwester","Blobel, Brigitte","Aus dem Wunsch, einige Kilo Babyspeck loszuwerden, entwickelt Dana eine Magersucht.","221","1992","ger","Arena","Anorexia nervosa","Jugendbuch"
"3-401-01841-8","Zwei starke Freunde","Seidemann, Maria","Die Ferien auf dem Bauerhof drohen für Rico total langweilig zu werden, bis er Melanie kennenlernt.","109","1997","unb","Arena","Freundschaft","Kinderbuch"
"3-401-01943-0","Sonst bist du dran!","Welsh, Renate","Michel aus der 4a wird Zeuge, wie Arnold von mehreren Klassenkameraden drangsaliert wird. Da diese Michel drohen:""Sonst bist du dran!"", schließt er sich der Gruppe an.","127","2005","ger","Arena","Schule; Gewalt","Kinderbuch"
"3-401-01996-1","Du hast aber Mut!","Blobel, Brigitte","Heimlich beobachtet Niko, wie Jule aus der Parallelklasse von 3 älteren Schülern mißhandelt wird. Aus Angst schweigt er, auch als er selbst bedroht wird. Doch dann wird Jule noch brutaler zusammengeschlagen.","141","2003","ger","Arena","Schüler; Gewalt","Kinderbuch"
"3-401-02271-7","Komet im Mumintal","Jansson, Tove","Die Mumins erwarten die Ankunft eines Kometen.","187","2002","ger","Arena","Troll; Abenteuer; Komet","Kinderbuch"
